,X,Y,応力,Grain_Number
756,125,5,0.09966517,6
757,0,6,0.130834726,0
758,1,6,0.114373745,0
759,2,6,0.099392489,0
760,3,6,0.044725871,0
761,4,6,0.133704139,0
762,5,6,-0.009402609,0
763,6,6,0.130360747,0
764,7,6,0.175011599,0
765,8,6,0.093397238,0
766,9,6,0.036443143,0
767,10,6,0.163983344,0
768,11,6,0.10122772,0
769,12,6,0.067129549,0
770,13,6,0.15511765,0
771,14,6,0.186896733,0
772,15,6,0.065119023,0
773,16,6,0.036584664,0
774,17,6,0.169312313,0
775,18,6,-0.071240563,0
776,19,6,0.017296863,0
777,20,6,0.076849513,0
778,21,6,0.053375063,7
779,22,6,0.003403772,7
780,23,6,-0.04405708,7
781,24,6,-0.03444911,7
782,25,6,-0.281277246,7
783,26,6,-0.100282129,7
784,27,6,-0.17506546,7
785,28,6,-0.097715167,7
786,29,6,-0.112918321,7
787,30,6,-0.064850881,7
788,31,6,-0.019219173,7
789,32,6,0.097849318,7
790,33,6,0.033101736,1
791,34,6,-0.021674968,1
792,35,6,0.109488089,1
793,36,6,-0.044485266,1
794,37,6,0.008548673,1
795,38,6,0.055609619,1
796,39,6,-0.060828928,1
797,40,6,0.024996353,1
798,41,6,0.185731443,1
799,42,6,0.230788859,1
800,43,6,0.118175608,1
801,44,6,-0.01096317,1
802,45,6,0.163072834,1
803,46,6,0.025314986,1
804,47,6,0.12148504,1
805,48,6,0.124657842,1
806,49,6,0.070403629,1
807,50,6,0.147071947,1
808,51,6,0.077359317,1
809,52,6,-0.06221371,1
810,53,6,0.068293384,1
811,54,6,0.031198193,1
812,55,6,0.031754583,1
813,56,6,0.074450755,1
814,57,6,0.06085982,1
815,58,6,-0.035770126,1
816,59,6,0.119828892,1
817,60,6,0.05740745,1
818,61,6,0.112952797,1
819,62,6,0.504301299,2
820,63,6,0.05594019,3
821,64,6,0.046246349,3
822,65,6,-0.041768897,3
823,66,6,-0.050833144,3
824,67,6,-0.048864256,3
825,68,6,0.030436123,3
826,69,6,0.031418312,3
827,70,6,-0.024605063,3
828,71,6,0.055799729,3
829,72,6,0.0309085,3
830,73,6,-0.031627688,3
831,74,6,-0.074400825,3
832,75,6,0.086554902,3
833,76,6,0.014394139,3
834,77,6,0.023901315,3
835,78,6,-0.043513454,3
836,79,6,-0.01443897,3
837,80,6,0,3
838,81,6,0.043938631,3
839,82,6,0.059513119,3
840,83,6,0.044249078,3
841,84,6,0.033391684,3
842,85,6,-0.041519245,3
843,86,6,-0.009978208,3
844,87,6,0.045076448,3
845,88,6,-0.126689041,3
846,89,6,0.055372534,3
847,90,6,-0.102029136,3
848,91,6,0.074460498,4
849,92,6,0.105590418,4
850,93,6,0.077958599,4
851,94,6,-0.093700922,4
852,95,6,0.021601184,4
853,96,6,0.051449403,4
854,97,6,-0.077484396,4
855,98,6,-0.105640315,4
856,99,6,0.226909172,4
857,100,6,0.125170399,4
858,101,6,0.136928623,5
859,102,6,0.018981756,5
860,103,6,0.103671347,5
861,104,6,-0.129591328,5
862,105,6,0.175344007,5
863,106,6,0.143661639,5
864,107,6,0.219958333,8
865,108,6,0.138046542,8
866,109,6,0.311048336,6
867,110,6,0.177039529,6
868,111,6,0.000457663,6
869,112,6,0.040455446,6
870,113,6,0.043577153,6
871,114,6,0.117833242,6
872,115,6,0.158987289,6
873,116,6,0.019295815,6
874,117,6,0.023157365,6
875,118,6,0.069371407,6
876,119,6,0.153877368,6
877,120,6,-0.035643767,6
878,121,6,0.00645186,6
879,122,6,0.017524523,6
880,123,6,0.166256333,6
881,124,6,0.118577611,6
882,125,6,0,6
883,0,7,0.056620442,0
884,1,7,0.204653915,0
885,2,7,0.114473844,0
886,3,7,-0.030810656,0
887,4,7,-0.033364879,0
888,5,7,0.11358747,0
889,6,7,0.133107417,0
890,7,7,0.155827335,0
891,8,7,0.106310032,0
892,9,7,0.234141953,0
893,10,7,0.036282321,0
894,11,7,0.159610445,0
895,12,7,0.014624862,0
896,13,7,0.028839755,0
897,14,7,0.106571044,0
898,15,7,0.16197999,0
899,16,7,0.194114017,0
900,17,7,0.431490346,7
901,18,7,-0.086148749,7
902,19,7,-0.09551157,7
903,20,7,-0.114632066,7
904,21,7,-0.016049749,7
905,22,7,-0.061907608,7
906,23,7,-0.015147514,7
907,24,7,-0.111745454,7
908,25,7,-0.036231624,7
909,26,7,0.022715289,7
910,27,7,-0.057564435,7
911,28,7,-0.070072837,7
912,29,7,-0.033230374,7
913,30,7,-0.176673548,7
914,31,7,0.104197175,7
915,32,7,-0.050844972,7
916,33,7,-0.379263109,7
917,34,7,0.16977725,1
918,35,7,-0.008411638,1
919,36,7,0.106324722,1
920,37,7,0.08269526,1
921,38,7,0.026574693,1
922,39,7,0.082864843,1
923,40,7,0.042662031,1
924,41,7,0.158024043,1
925,42,7,0.114695345,1
926,43,7,0.15223094,1
927,44,7,0.21533382,1
928,45,7,0.171202198,1
929,46,7,0.183706565,1
930,47,7,0.135624837,1
931,48,7,0.093416159,1
932,49,7,0.085407796,1
933,50,7,0.146524589,1
934,51,7,0.085304086,1
935,52,7,0.119992306,1
936,53,7,0.077869484,1
937,54,7,0.061410858,1
938,55,7,0.099116182,1
939,56,7,0.138495389,1
940,57,7,0.090651117,1
941,58,7,0.178111636,1
942,59,7,0.031529831,1
943,60,7,0.073066812,1
944,61,7,0.129434565,1
945,62,7,0.160850707,1
946,63,7,0.502215835,1
947,64,7,0.005345805,3
948,65,7,0.112832733,3
949,66,7,-0.025535496,3
950,67,7,-0.020226508,3
951,68,7,-0.013325484,3
952,69,7,0.178462663,3
953,70,7,0.084704181,3
954,71,7,-0.081566897,3
955,72,7,-0.194907711,3
956,73,7,0.007841995,3
957,74,7,-0.133784638,3
958,75,7,0.08212423,3
959,76,7,0.033668473,3
960,77,7,0.053262019,3
961,78,7,0.068084971,3
962,79,7,0.089888891,3
963,80,7,-0.10309073,3
964,81,7,0.142908689,3
965,82,7,0.021755738,3
966,83,7,0.031549667,3
967,84,7,-0.04583288,3
968,85,7,-0.054501462,3
969,86,7,-0.090861071,3
970,87,7,0.062605004,3
971,88,7,-0.079378529,3
972,89,7,-0.075756435,3
973,90,7,0.028509222,3
974,91,7,0.052888009,3
975,92,7,0.012924972,4
976,93,7,0.062697748,4
977,94,7,0.006092516,4
